cycle_id,label,image,h,disk,pl,workload,c,rr,runtime_s,rps,ttft_mean,tpot_mean,latency_mean,gpu_block,ext_block,gpu_tok,ext_tok,compute_tok,overall_tok,g2c_GB,c2g_GB,bench_log_path,status
ph4-lm-baseline-pl100-qps1,lmbench baseline+pl100 QPS=1,acc47dd9ee34,,,100,lmbench,64,1,0,0.00,0,0.0,0,51.12,3.34,51.1,1.6,47.2,52.8,283,10,/results/ph4-lm-baseline-pl100-qps1/bench.log,OK_PHASE4
ph4-lm-treatment-default-qps1,lmbench treatment-default QPS=1,8d2360fb4879,0.75,0.25,1,lmbench,64,1,0,0.00,0,0.0,0,45.12,7.30,45.1,4.0,50.9,49.1,302,23,/results/ph4-lm-treatment-default-qps1/bench.log,OK_PHASE4
ph4-lm-baseline-pl100-qps4,lmbench baseline+pl100 QPS=4,acc47dd9ee34,,,100,lmbench,64,4,0,0.00,0,0.0,0,40.92,8.29,41.1,4.9,54.0,46.0,491,44,/results/ph4-lm-baseline-pl100-qps4/bench.log,OK_PHASE4
ph4-lm-treatment-default-qps4,lmbench treatment-default QPS=4,8d2360fb4879,0.75,0.25,1,lmbench,64,4,0,0.00,0,0.0,0,25.85,15.04,26.0,11.2,62.8,37.2,566,100,/results/ph4-lm-treatment-default-qps4/bench.log,OK_PHASE4
ph4-lm-baseline-pl100-qps8,lmbench baseline+pl100 QPS=8,acc47dd9ee34,,,100,lmbench,64,8,0,0.00,0,0.0,0,14.34,23.78,24.1,18.4,57.5,42.5,755,239,/results/ph4-lm-baseline-pl100-qps8/bench.log,OK_PHASE4
ph4-lm-treatment-default-qps8,lmbench treatment-default QPS=8,8d2360fb4879,0.75,0.25,1,lmbench,64,8,0,0.00,0,0.0,0,19.03,28.36,19.4,23.4,57.2,42.8,758,307,/results/ph4-lm-treatment-default-qps8/bench.log,OK_PHASE4
ph4-lm-baseline-pl100-qps16,lmbench baseline+pl100 QPS=16,acc47dd9ee34,,,100,lmbench,64,16,0,0.00,0,0.0,0,13.15,43.22,23.0,33.1,43.9,56.1,738,560,/results/ph4-lm-baseline-pl100-qps16/bench.log,OK_PHASE4
ph4-lm-treatment-default-qps16,lmbench treatment-default QPS=16,8d2360fb4879,0.75,0.25,1,lmbench,64,16,0,0.00,0,0.0,0,5.27,48.26,17.2,40.2,42.6,57.4,751,707,/results/ph4-lm-treatment-default-qps16/bench.log,OK_PHASE4
ph4-lm-baseline-pl100-qps32,lmbench baseline+pl100 QPS=32,acc47dd9ee34,,,100,lmbench,64,32,0,0.00,0,0.0,0,18.27,38.17,25.2,28.6,46.2,53.8,755,467,/results/ph4-lm-baseline-pl100-qps32/bench.log,OK_PHASE4
ph4-lm-treatment-default-qps32,lmbench treatment-default QPS=32,8d2360fb4879,0.75,0.25,1,lmbench,64,32,0,0.00,0,0.0,0,2.54,51.28,15.4,43.6,40.9,59.1,731,781,/results/ph4-lm-treatment-default-qps32/bench.log,OK_PHASE4
ph4-lm-baseline-pl100-qps64,lmbench baseline+pl100 QPS=64,acc47dd9ee34,,,100,lmbench,64,64,0,0.00,0,0.0,0,18.27,33.28,25.9,24.7,49.5,50.5,781,392,/results/ph4-lm-baseline-pl100-qps64/bench.log,OK_PHASE4
ph4-lm-treatment-default-qps64,lmbench treatment-default QPS=64,8d2360fb4879,0.75,0.25,1,lmbench,64,64,0,0.00,0,0.0,0,1.92,53.17,14.3,45.7,39.9,60.1,736,853,/results/ph4-lm-treatment-default-qps64/bench.log,OK_PHASE4
ph5-lm-baseline-pl100-qps1,lmbench baseline+pl100 QPS=1,acc47dd9ee34,,,100,lmbench,64,1,241,1.36,0,0.0,0,37.73,15.26,37.7,9.5,52.8,47.2,696,124,/results/ph5-lm-baseline-pl100-qps1/bench.log,OK_PH5_LM
ph5-lm-treatment-default-qps1,lmbench treatment-default QPS=1,8d2360fb4879,0.75,0.25,1,lmbench,64,1,240,1.36,0,0.0,0,31.79,55.98,31.8,38.2,30.0,70.0,398,496,/results/ph5-lm-treatment-default-qps1/bench.log,OK_PH5_LM
ph5-lm-baseline-pl100-qps4,lmbench baseline+pl100 QPS=4,acc47dd9ee34,,,100,lmbench,64,4,242,3.89,0,0.0,0,12.10,45.81,12.1,40.3,47.6,52.4,1860,1553,/results/ph5-lm-baseline-pl100-qps4/bench.log,OK_PH5_LM
ph5-lm-treatment-default-qps4,lmbench treatment-default QPS=4,8d2360fb4879,0.75,0.25,1,lmbench,64,4,241,3.90,0,0.0,0,9.26,56.75,9.3,51.5,39.2,60.8,1534,1983,/results/ph5-lm-treatment-default-qps4/bench.log,OK_PH5_LM
ph5-lm-baseline-pl100-qps8,lmbench baseline+pl100 QPS=8,acc47dd9ee34,,,100,lmbench,64,8,244,7.18,0,0.0,0,5.65,48.60,7.4,45.0,47.6,52.4,3577,3342,/results/ph5-lm-baseline-pl100-qps8/bench.log,OK_PH5_LM
ph5-lm-treatment-default-qps8,lmbench treatment-default QPS=8,8d2360fb4879,0.75,0.25,1,lmbench,64,8,242,7.24,0,0.0,0,7.30,63.65,7.3,59.0,33.7,66.3,2545,4382,/results/ph5-lm-treatment-default-qps8/bench.log,OK_PH5_LM
ph5-lm-baseline-pl100-qps16,lmbench baseline+pl100 QPS=16,acc47dd9ee34,,,100,lmbench,64,16,252,8.65,0,0.0,0,2.64,49.27,4.5,47.0,48.4,51.6,4525,4349,/results/ph5-lm-baseline-pl100-qps16/bench.log,OK_PH5_LM
ph5-lm-treatment-default-qps16,lmbench treatment-default QPS=16,8d2360fb4879,0.75,0.25,1,lmbench,64,16,246,11.51,0,0.0,0,0.46,76.25,2.5,74.4,23.2,76.8,2909,9133,/results/ph5-lm-treatment-default-qps16/bench.log,OK_PH5_LM
ph5-lm-baseline-pl100-qps32,lmbench baseline+pl100 QPS=32,acc47dd9ee34,,,100,lmbench,64,32,264,7.78,0,0.0,0,1.82,36.06,4.5,34.5,61.1,38.9,5231,2923,/results/ph5-lm-baseline-pl100-qps32/bench.log,OK_PH5_LM
ph5-lm-treatment-default-qps32,lmbench treatment-default QPS=32,8d2360fb4879,0.75,0.25,1,lmbench,64,32,255,10.98,0,0.0,0,0.21,72.25,2.2,70.6,27.1,72.9,3261,8316,/results/ph5-lm-treatment-default-qps32/bench.log,OK_PH5_LM
ph5-lm-baseline-pl100-qps64,lmbench baseline+pl100 QPS=64,acc47dd9ee34,,,100,lmbench,64,64,239,8.00,0,0.0,0,2.37,25.71,5.0,24.6,70.5,29.5,5637,1953,/results/ph5-lm-baseline-pl100-qps64/bench.log,OK_PH5_LM
ph5-lm-treatment-default-qps64,lmbench treatment-default QPS=64,8d2360fb4879,0.75,0.25,1,lmbench,64,64,239,10.41,0,0.0,0,0.22,56.26,2.4,55.2,42.4,57.6,4455,5750,/results/ph5-lm-treatment-default-qps64/bench.log,OK_PH5_LM
ph5-rep1-baseline-default-c128,rep1 baseline-default c=128,acc47dd9ee34,,,,generate_multi_turn_longbench.json,128,0.5,202,8.93,7990,87.7,12285,0.00,28.05,0.0,28.1,71.9,28.1,5839,2268,/results/ph5-rep1-baseline-default-c128/bench.log,OK_PH5
ph5-rep1-baseline-pl100-c128,rep1 baseline+pl100 c=128,acc47dd9ee34,,,100,generate_multi_turn_longbench.json,128,0.5,169,9.39,7446,82.0,11466,0.22,32.30,0.0,32.3,67.7,32.3,4857,2308,/results/ph5-rep1-baseline-pl100-c128/bench.log,OK_PH5
ph5-rep1-treatment-default-c128,rep1 treatment-default c=128,8d2360fb4879,0.75,0.25,1,generate_multi_turn_longbench.json,128,0.5,144,11.84,5429,67.4,8725,0.01,51.73,0.1,51.7,48.2,51.8,3716,3961,/results/ph5-rep1-treatment-default-c128/bench.log,OK_PH5
ph5-rep1-best-c128,rep1 best c=128,8d2360fb4879,1.0,0.25,100,generate_multi_turn_longbench.json,128,0.5,48,32.78,814,24.6,2019,1.04,92.04,4.2,88.1,7.6,92.4,561,6271,/results/ph5-rep1-best-c128/bench.log,OK_PH5
ph5-rep2-baseline-default-c128,rep2 baseline-default c=128,acc47dd9ee34,,,,generate_multi_turn_longbench.json,128,0.5,192,8.87,7947,86.8,12202,0.29,27.72,0.4,27.6,72.0,28.0,5538,2116,/results/ph5-rep2-baseline-default-c128/bench.log,OK_PH5
ph5-rep2-baseline-pl100-c128,rep2 baseline+pl100 c=128,acc47dd9ee34,,,100,generate_multi_turn_longbench.json,128,0.5,188,9.44,7447,82.4,11487,0.02,32.53,0.1,32.5,67.4,32.6,5382,2584,/results/ph5-rep2-baseline-pl100-c128/bench.log,OK_PH5
ph5-rep2-treatment-default-c128,rep2 treatment-default c=128,8d2360fb4879,0.75,0.25,1,generate_multi_turn_longbench.json,128,0.5,142,12.38,5178,64.4,8334,0.07,53.86,0.2,53.7,46.0,54.0,3653,4241,/results/ph5-rep2-treatment-default-c128/bench.log,OK_PH5
ph5-rep2-best-c128,rep2 best c=128,8d2360fb4879,1.0,0.25,100,generate_multi_turn_longbench.json,128,0.5,51,31.91,834,24.8,2048,0.88,92.34,3.4,89.2,7.4,92.6,563,6561,/results/ph5-rep2-best-c128/bench.log,OK_PH5
ph5-rep3-baseline-default-c128,rep3 baseline-default c=128,acc47dd9ee34,,,,generate_multi_turn_longbench.json,128,0.5,203,8.88,7952,87.5,12232,0.00,28.39,0.0,28.4,71.6,28.4,5831,2303,/results/ph5-rep3-baseline-default-c128/bench.log,OK_PH5
ph5-rep3-baseline-pl100-c128,rep3 baseline+pl100 c=128,acc47dd9ee34,,,100,generate_multi_turn_longbench.json,128,0.5,188,9.24,7546,83.1,11613,0.01,31.56,0.1,31.5,68.4,31.6,5342,2455,/results/ph5-rep3-baseline-pl100-c128/bench.log,OK_PH5
ph5-rep3-treatment-default-c128,rep3 treatment-default c=128,8d2360fb4879,0.75,0.25,1,generate_multi_turn_longbench.json,128,0.5,147,11.98,5335,66.6,8600,0.01,52.47,0.1,52.4,47.5,52.5,3778,4148,/results/ph5-rep3-treatment-default-c128/bench.log,OK_PH5
ph5-rep3-best-c128,rep3 best c=128,8d2360fb4879,1.0,0.25,100,generate_multi_turn_longbench.json,128,0.5,49,31.72,886,25.5,2134,0.70,91.94,3.6,88.6,7.8,92.2,560,6182,/results/ph5-rep3-best-c128/bench.log,OK_PH5
ph5-prewarm-baseline-default-cold-c64,prewarm baseline-default cold c=64,acc47dd9ee34,,,,generate_multi_turn_longbench.json,64,0.5,167,10.54,1248,59.8,4177,3.10,40.39,6.0,38.0,56.0,44.0,4504,3038,/results/ph5-prewarm-baseline-default-cold-c64/bench.log,OK_PH5
ph5-prewarm-baseline-default-warmup-c8,prewarm baseline-default warmup c=8,acc47dd9ee34,,,,generate_multi_turn_longbench.json,8,1.0,640,3.72,317,16.6,1129,75.14,7.08,75.1,1.8,23.1,76.9,2508,189,/results/ph5-prewarm-baseline-default-warmup-c8/bench.log,OK_PH5
ph5-prewarm-baseline-default-warm-c64,prewarm baseline-default WARM c=64,acc47dd9ee34,,,,generate_multi_turn_longbench.json,64,0.5,173,10.43,1215,60.5,4184,27.85,32.21,45.5,17.5,36.9,63.1,7034,3320,/results/ph5-prewarm-baseline-default-warm-c64/bench.log,OK_PH5_WARM
ph5-prewarm-best-cold-c64,prewarm best cold c=64,8d2360fb4879,1.0,0.25,100,generate_multi_turn_longbench.json,64,0.5,86,20.77,219,19.0,1150,41.64,82.15,62.2,31.1,6.8,93.2,568,2518,/results/ph5-prewarm-best-cold-c64/bench.log,OK_PH5
ph5-prewarm-best-warmup-c8,prewarm best warmup c=8,8d2360fb4879,1.0,0.25,100,generate_multi_turn_longbench.json,8,1.0,584,4.07,128,16.7,945,90.04,47.52,90.0,4.7,5.2,94.8,588,507,/results/ph5-prewarm-best-warmup-c8/bench.log,OK_PH5
ph5-prewarm-best-warm-c64,prewarm best WARM c=64,8d2360fb4879,1.0,0.25,100,generate_multi_turn_longbench.json,64,0.5,88,20.84,224,18.7,1142,65.62,86.56,77.1,19.9,3.1,96.9,623,3772,/results/ph5-prewarm-best-warm-c64/bench.log,OK_PH5_WARM
ph5-ceiling-best-c192-saturate,ceiling best c=192 (saturate),8d2360fb4879,1.0,0.25,100,generate_multi_turn_saturated.json,192,0.5,0,0.00,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.0,0,0,/results/ph5-ceiling-best-c192-saturate/bench.log,OK_PH5
ph5-ceiling-best-c256-saturate,ceiling best c=256 (saturate),8d2360fb4879,1.0,0.25,100,generate_multi_turn_saturated.json,256,0.5,0,0.00,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.0,0,0,/results/ph5-ceiling-best-c256-saturate/bench.log,OK_PH5
ph5-ceiling-best-c384-saturate,ceiling best c=384 (saturate),8d2360fb4879,1.0,0.25,100,generate_multi_turn_saturated.json,384,0.5,0,0.00,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.0,0,0,/results/ph5-ceiling-best-c384-saturate/bench.log,OK_PH5
ph5b-ceiling-best-c128,ceiling best c=128 (prefix=6K),8d2360fb4879,1.0,0.25,100,generate_multi_turn_ceiling.json,128,0.5,152,42.54,130,18.6,1042,71.21,78.66,71.7,22.3,6.0,94.0,860,2896,/results/ph5b-ceiling-best-c128/bench.log,OK_PH5B
ph5b-ceiling-best-c192,ceiling best c=192 (prefix=6K),8d2360fb4879,1.0,0.25,100,generate_multi_turn_ceiling.json,192,0.5,100,59.63,201,21.7,1263,25.19,90.19,33.9,59.6,6.5,93.5,843,7127,/results/ph5b-ceiling-best-c192/bench.log,OK_PH5B
ph5b-ceiling-best-c256,ceiling best c=256 (prefix=6K),8d2360fb4879,1.0,0.25,100,generate_multi_turn_ceiling.json,256,0.5,73,71.29,408,25.5,1655,3.25,92.14,8.3,84.5,7.2,92.8,818,8891,/results/ph5b-ceiling-best-c256/bench.log,OK_PH5B
ph5b-ceiling-best-c384,ceiling best c=384 (prefix=6K),8d2360fb4879,1.0,0.25,100,generate_multi_turn_ceiling.json,384,0.5,68,78.42,1582,27.1,2906,0.00,92.74,0.0,92.7,7.3,92.7,822,9725,/results/ph5b-ceiling-best-c384/bench.log,OK_PH5B
ph5b-ceiling-baseline-c128,ceiling baseline c=128 (prefix=6K),acc47dd9ee34,,,,generate_multi_turn_ceiling.json,128,0.5,259,25.16,595,51.7,3125,7.56,42.68,7.6,39.4,52.9,47.1,7031,5181,/results/ph5b-ceiling-baseline-c128/bench.log,OK_PH5B
ph5b-ceiling-baseline-c192,ceiling baseline c=192 (prefix=6K),acc47dd9ee34,,,,generate_multi_turn_ceiling.json,192,0.5,255,23.92,1974,83.0,6038,0.02,36.10,0.1,36.1,63.8,36.2,7858,4411,/results/ph5b-ceiling-baseline-c192/bench.log,OK_PH5B
ph5b-ceiling-baseline-c256,ceiling baseline c=256 (prefix=6K),acc47dd9ee34,,,,generate_multi_turn_ceiling.json,256,0.5,240,21.63,5287,92.3,9814,0.00,27.31,0.0,27.3,72.7,27.3,7684,2866,/results/ph5b-ceiling-baseline-c256/bench.log,OK_PH5B
