cycle_id,label,image,h,disk,pl,workload,c,rr,runtime_s,rps,ttft_mean,tpot_mean,latency_mean,gpu_block,ext_block,gpu_tok,ext_tok,compute_tok,overall_tok,g2c_GB,c2g_GB,bench_log_path,status
t3-h1.25-pl100,tunable h=1.25 pl=100,8d2360fb4879,1.25,0.25,100,generate_multi_turn_longbench.json,64,0.5,0,0.00,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.0,0,0,/results/t3-h1.25-pl100/bench.log,FAIL_NOREADY
t4-baseline-prefix5000,baseline prefix=5000,acc47dd9ee34,,0.25,,cfg_prefix_5000.json,64,0.5,0,0.00,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.0,0,0,/results/t4-baseline-prefix5000/bench.log,FAIL_NOREADY
t4-best-prefix5000,best prefix=5000,8d2360fb4879,1.0,0.25,100,cfg_prefix_5000.json,64,0.5,149,21.89,91,17.7,956,89.45,42.90,89.5,4.5,6.0,94.0,378,256,/results/t4-best-prefix5000/bench.log,OK
t4-baseline-prefix25000,baseline prefix=25000,acc47dd9ee34,,0.25,,cfg_prefix_25000.json,64,0.5,0,0.00,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.0,0,0,/results/t4-baseline-prefix25000/bench.log,FAIL_NOREADY
t4-best-prefix25000,best prefix=25000,8d2360fb4879,1.0,0.25,100,cfg_prefix_25000.json,64,0.5,72,17.51,605,22.6,1708,4.21,91.43,16.7,76.2,7.1,92.9,674,7040,/results/t4-best-prefix25000/bench.log,OK
t5-02-tunable-h075-pl1,lmbench h=0.75 pl=1,8d2360fb4879,0.75,0.25,1,lmbench,64,0.5,0,0.00,0,0.0,0,3.16,49.23,16.0,41.8,42.2,57.8,742,726,/results/t5-02-tunable-h075-pl1/bench.log,OK
t5-03-tunable-h1-pl1,lmbench h=1.0 pl=1,8d2360fb4879,1.0,0.25,1,lmbench,64,0.5,0,0.00,0,0.0,0,2.54,50.37,15.5,42.5,42.0,58.0,762,764,/results/t5-03-tunable-h1-pl1/bench.log,OK
t5-04-tunable-h1-pl100,lmbench h=1.0 pl=100,8d2360fb4879,1.0,0.25,100,lmbench,64,0.5,0,0.00,0,0.0,0,3.03,79.97,18.6,65.2,16.2,83.8,419,1633,/results/t5-04-tunable-h1-pl100/bench.log,OK
t6-baseline-rr0.1,baseline rr=0.1,acc47dd9ee34,,,,generate_multi_turn_longbench.json,64,0.1,331,5.64,813,23.7,1974,9.58,38.38,12.5,33.6,53.9,46.1,4575,2836,/results/t6-baseline-rr0.1/bench.log,OK
t6-best-rr0.1,best rr=0.1,8d2360fb4879,1.0,0.25,100,generate_multi_turn_longbench.json,64,0.1,296,6.14,187,17.8,1057,54.32,78.51,69.0,24.3,6.7,93.3,569,2000,/results/t6-best-rr0.1/bench.log,OK
t6-baseline-rr1.0,baseline rr=1.0,acc47dd9ee34,,,,generate_multi_turn_longbench.json,64,1.0,177,10.78,1448,70.3,4895,2.18,42.81,3.5,41.3,55.2,44.8,4784,3565,/results/t6-baseline-rr1.0/bench.log,OK
t6-best-rr1.0,best rr=1.0,8d2360fb4879,1.0,0.25,100,generate_multi_turn_longbench.json,64,1.0,67,28.03,277,20.6,1285,26.61,86.43,52.6,40.9,6.4,93.6,571,3500,/results/t6-best-rr1.0/bench.log,OK
t4-baseline-prefix5000_RETRY,baseline prefix=5000,acc47dd9ee34,,,,cfg_prefix_5000.json,64,0.5,165,19.56,241,22.0,1318,40.07,37.19,40.1,22.3,37.6,62.4,2152,1252,/results/t4-baseline-prefix5000_RETRY/bench.log,OK_RETRY
t4-baseline-prefix25000_RETRY,baseline prefix=25000,acc47dd9ee34,,,,cfg_prefix_25000.json,64,0.5,240,5.22,6527,74.6,10170,0.01,33.74,0.1,33.7,66.2,33.8,6144,3121,/results/t4-baseline-prefix25000_RETRY/bench.log,OK_RETRY
